X	Y	Z
-2.5	0.3	0.015607499
-2.5	0.4	0.01378124
-2.5	0.5	0.011743609
-2.5	0.6	0.009657689
-2.5	0.7	0.007664841
-2.5	0.8	0.00587072
-2.5	0.9	0.004339483
-2.5	1	0.003095587
-2.5	1.1	0.002131113
-2.5	1.2	0.001415886
-2.5	1.3	0.000907838
-2.5	1.4	0.000561755
-2.5	1.5	0.000335463
-2.5	1.6	0.00019333
-2.5	1.7	0.000107526
-2.5	1.8	5.77146E-05
-2.5	1.9	2.98962E-05
-2.5	2	1.49453E-05
-2.5	2.1	7.2103E-06
-2.5	2.2	3.35706E-06
-2.5	2.3	1.50843E-06
-2.5	2.4	6.54104E-07
-2.5	2.5	2.73733E-07
-2.5	2.6	1.10552E-07
-2.5	2.7	4.30889E-08
-2.5	2.8	1.62077E-08
-2.5	2.9	5.88352E-09
-2.5	3	2.06115E-09
-2.4	-3	2.82036E-09
-2.4	-2.9	8.05067E-09
-2.4	-2.8	2.21777E-08
-2.4	-2.7	5.89604E-08
-2.4	-2.6	1.51273E-07
-2.4	-2.5	3.74561E-07
-2.4	-2.4	8.95038E-07
-2.4	-2.3	2.06404E-06
-2.4	-2.2	4.59361E-06
-2.4	-2.1	9.86616E-06
-2.4	-2	2.04503E-05
-2.4	-1.9	4.09083E-05
-2.4	-1.8	7.89734E-05
-2.4	-1.7	0.000147132
-2.4	-1.6	0.000264542
-2.4	-1.5	0.000459028
-2.4	-1.4	0.000768673
-2.4	-1.3	0.001242233
-2.4	-1.2	0.001937416
-2.4	-1.1	0.002916091
-2.4	-1	0.004235822
-2.4	-0.9	0.005937897
-2.4	-0.8	0.008033152
-2.4	-0.7	0.010488118
-2.4	-0.6	0.013215006
-2.4	-0.5	0.016069237
-2.4	-0.4	0.018857376
-2.4	-0.3	0.021356274
-2.4	-0.2	0.023341466
-2.4	-0.1	0.024620085
-2.4	0	0.025061669
-2.4	0.1	0.024620085
-2.4	0.2	0.023341466
-2.4	0.3	0.021356274
-2.4	0.4	0.018857376
-2.4	0.5	0.016069237
-2.4	0.6	0.013215006
-2.4	0.7	0.010488118
-2.4	0.8	0.008033152
-2.4	0.9	0.005937897
-2.4	1	0.004235822
-2.4	1.1	0.002916091
-2.4	1.2	0.001937416
-2.4	1.3	0.001242233
-2.4	1.4	0.000768673
-2.4	1.5	0.000459028
-2.4	1.6	0.000264542
-2.4	1.7	0.000147132
-2.4	1.8	7.89734E-05
-2.4	1.9	4.09083E-05
-2.4	2	2.04503E-05
-2.4	2.1	9.86616E-06
-2.4	2.2	4.59361E-06
-2.4	2.3	2.06404E-06
-2.4	2.4	8.95038E-07
-2.4	2.5	3.74561E-07
-2.4	2.6	1.51273E-07
-2.4	2.7	5.89604E-08
-2.4	2.8	2.21777E-08
-2.4	2.9	8.05067E-09
-2.4	3	2.82036E-09
-2.3	-3	3.81014E-09
-2.3	-2.9	1.0876E-08
-2.3	-2.8	2.99607E-08
-2.3	-2.7	7.96519E-08
-2.3	-2.6	2.04361E-07
-2.3	-2.5	5.06009E-07
-2.3	-2.4	1.20914E-06
-2.3	-2.3	2.78839E-06
-2.3	-2.2	6.20569E-06
-2.3	-2.1	1.33286E-05
-2.3	-2	2.76272E-05
-2.3	-1.9	5.52646E-05
-2.3	-1.8	0.000106688
-2.3	-1.7	0.000198767
-2.3	-1.6	0.00035738
-2.3	-1.5	0.000620118
-2.3	-1.4	0.001038431
-2.3	-1.3	0.001678182
-2.3	-1.2	0.002617331
-2.3	-1.1	0.003939462
-2.3	-1	0.005722337
-2.3	-0.9	0.008021735
-2.3	-0.8	0.010852291
-2.3	-0.7	0.014168785
-2.3	-0.6	0.017852608
-2.3	-0.5	0.021708429
-2.3	-0.4	0.025474916
-2.3	-0.3	0.028850614
-2.3	-0.2	0.031532312
-2.3	-0.1	0.033259509
-2.3	0	0.033856008
-2.3	0.1	0.033259509
-2.3	0.2	0.031532312
-2.3	0.3	0.028850614
-2.3	0.4	0.025474916
-2.3	0.5	0.021708429
-2.3	0.6	0.017852608
-2.3	0.7	0.014168785
-2.3	0.8	0.010852291
-2.3	0.9	0.008021735
-2.3	1	0.005722337
-2.3	1.1	0.003939462
-2.3	1.2	0.002617331
-2.3	1.3	0.001678182
-2.3	1.4	0.001038431
-2.3	1.5	0.000620118
-2.3	1.6	0.00035738
-2.3	1.7	0.000198767
-2.3	1.8	0.000106688
-2.3	1.9	5.52646E-05
-2.3	2	2.76272E-05
-2.3	2.1	1.33286E-05
-2.3	2.2	6.20569E-06
-2.3	2.3	2.78839E-06
-2.3	2.4	1.20914E-06
-2.3	2.5	5.06009E-07
-2.3	2.6	2.04361E-07
-2.3	2.7	7.96519E-08
-2.3	2.8	2.99607E-08
-2.3	2.9	1.0876E-08
-2.3	3	3.81014E-09
-2.2	-3	5.0818E-09
-2.2	-2.9	1.45059E-08
-2.2	-2.8	3.99604E-08
-2.2	-2.7	1.06236E-07
-2.2	-2.6	2.72568E-07
-2.2	-2.5	6.74893E-07
-2.2	-2.4	1.6127E-06
-2.2	-2.3	3.71904E-06
-2.2	-2.2	8.27688E-06
-2.2	-2.1	1.77771E-05
-2.2	-2	3.68479E-05
-2.2	-1.9	7.37096E-05
-2.2	-1.8	0.000142296
-2.2	-1.7	0.000265107
-2.2	-1.6	0.000476658
-2.2	-1.5	0.000827088
-2.2	-1.4	0.001385015
-2.2	-1.3	0.002238287
-2.2	-1.2	0.003490885
-2.2	-1.1	0.005254285
-2.2	-1	0.007632207
-2.2	-0.9	0.01069904
-2.2	-0.8	0.014474297
-2.2	-0.7	0.018897647
-2.2	-0.6	0.02381086
-2.2	-0.5	0.028953369
-2.2	-0.4	0.033976585
-2.2	-0.3	0.038478448
-2.2	-0.2	0.042054642
-2.2	-0.1	0.044357872
-2.2	0	0.045153292
-2.2	0.1	0.044357872
-2.2	0.2	0.042054642
-2.2	0.3	0.038478448
-2.2	0.4	0.033976585
-2.2	0.5	0.028953369
-2.2	0.6	0.02381086
-2.2	0.7	0.018897647
-2.2	0.8	0.014474297
-2.2	0.9	0.01069904
-2.2	1	0.007632207
-2.2	1.1	0.005254285
-2.2	1.2	0.003490885
-2.2	1.3	0.002238287
-2.2	1.4	0.001385015
-2.2	1.5	0.000827088
-2.2	1.6	0.000476658
-2.2	1.7	0.000265107
-2.2	1.8	0.000142296
-2.2	1.9	7.37096E-05
-2.2	2	3.68479E-05
-2.2	2.1	1.77771E-05
-2.2	2.2	8.27688E-06
-2.2	2.3	3.71904E-06
-2.2	2.4	1.6127E-06
-2.2	2.5	6.74893E-07
-2.2	2.6	2.72568E-07
-2.2	2.7	1.06236E-07
-2.2	2.8	3.99604E-08
-2.2	2.9	1.45059E-08
-2.2	3	5.0818E-09
-2.1	-3	6.69169E-09
-2.1	-2.9	1.91013E-08
-2.1	-2.8	5.26196E-08
-2.1	-2.7	1.39891E-07
-2.1	-2.6	3.58916E-07
-2.1	-2.5	8.88696E-07
-2.1	-2.4	2.1236E-06
-2.1	-2.3	4.89721E-06
-2.1	-2.2	1.08989E-05
-2.1	-2.1	2.34088E-05
-2.1	-2	4.85211E-05
-2.1	-1.9	9.70603E-05
-2.1	-1.8	0.000187375
-2.1	-1.7	0.000349091
-2.1	-1.6	0.000627661
-2.1	-1.5	0.001089104
-2.1	-1.4	0.001823779
-2.1	-1.3	0.002947363
-2.1	-1.2	0.004596776
-2.1	-1.1	0.00691881
-2.1	-1	0.010050039
-2.1	-0.9	0.01408841
-2.1	-0.8	0.019059594
-2.1	-0.7	0.024884093
-2.1	-0.6	0.031353455
-2.1	-0.5	0.038124435
-2.1	-0.4	0.044737911
-2.1	-0.3	0.050664485
-2.1	-0.2	0.055372013
-2.1	-0.1	0.058403636
-2.1	0	0.059450558
-2.1	0.1	0.058403636
-2.1	0.2	0.055372013
-2.1	0.3	0.050664485
-2.1	0.4	0.044737911
-2.1	0.5	0.038124435
-2.1	0.6	0.031353455
-2.1	0.7	0.024884093
-2.1	0.8	0.019059594
-2.1	0.9	0.01408841
-2.1	1	0.010050039
-2.1	1.1	0.00691881
-2.1	1.2	0.004596776
-2.1	1.3	0.002947363
-2.1	1.4	0.001823779
-2.1	1.5	0.001089104
-2.1	1.6	0.000627661
-2.1	1.7	0.000349091
-2.1	1.8	0.000187375
-2.1	1.9	9.70603E-05
-2.1	2	4.85211E-05
-2.1	2.1	2.34088E-05
-2.1	2.2	1.08989E-05
-2.1	2.3	4.89721E-06
-2.1	2.4	2.1236E-06
-2.1	2.5	8.88696E-07
-2.1	2.6	3.58916E-07
-2.1	2.7	1.39891E-07
-2.1	2.8	5.26196E-08
-2.1	2.9	1.91013E-08
-2.1	3	6.69169E-09
-2	-3	8.6995E-09
-2	-2.9	2.48325E-08
-2	-2.8	6.84079E-08
-2	-2.7	1.81865E-07
-2	-2.6	4.66607E-07
-2	-2.5	1.15535E-06
-2	-2.4	2.76077E-06
-2	-2.3	6.3666E-06
-2	-2.2	1.41691E-05
-2	-2.1	3.04325E-05
-2	-2	6.30797E-05
-2	-1.9	0.000126183
-2	-1.8	0.000243596
-2	-1.7	0.000453835
-2	-1.6	0.000815988
-2	-1.5	0.001415886
-2	-1.4	0.002370998
-2	-1.3	0.003831708
-2	-1.2	0.005976022
-2	-1.1	0.008994771
-2	-1	0.013065501
-2	-0.9	0.018315526
-2	-0.8	0.024778152
-2	-0.7	0.03234988
-2	-0.6	0.040759443
-2	-0.5	0.049560248
-2	-0.4	0.058155125
-2	-0.3	0.065855923
-2	-0.2	0.071971548
-2	-0.1	0.075909316
-2	0	0.077269028
-2	0.1	0.075909316
-2	0.2	0.071971548
-2	0.3	0.065855923
-2	0.4	0.058155125
-2	0.5	0.049560248
-2	0.6	0.040759443
-2	0.7	0.03234988
-2	0.8	0.024778152
-2	0.9	0.018315526
-2	1	0.013065501
-2	1.1	0.008994771
-2	1.2	0.005976022
-2	1.3	0.003831708
-2	1.4	0.002370998
-2	1.5	0.001415886
-2	1.6	0.000815988
-2	1.7	0.000453835
-2	1.8	0.000243596
-2	1.9	0.000126183
-2	2	6.30797E-05
-2	2.1	3.04325E-05
-2	2.2	1.41691E-05
-2	2.3	6.3666E-06
-2	2.4	2.76077E-06
-2	2.5	1.15535E-06
-2	2.6	4.66607E-07
-2	2.7	1.81865E-07
-2	2.8	6.84079E-08
-2	2.9	2.48325E-08
-2	3	8.6995E-09
-1.9	-3	1.11659E-08
-1.9	-2.9	3.18729E-08
-1.9	-2.8	8.78023E-08
-1.9	-2.7	2.33426E-07
-1.9	-2.6	5.98896E-07
-1.9	-2.5	1.4829E-06
-1.9	-2.4	3.54348E-06
-1.9	-2.3	8.17161E-06
-1.9	-2.2	1.81863E-05
-1.9	-2.1	3.90605E-05
-1.9	-2	8.09636E-05
-1.9	-1.9	0.000161957
-1.9	-1.8	0.000312658
-1.9	-1.7	0.000582502
-1.9	-1.6	0.00104733
-1.9	-1.5	0.001817306
-1.9	-1.4	0.003043204
-1.9	-1.3	0.004918043
-1.9	-1.2	0.007670293
-1.9	-1.1	0.011544887
-1.9	-1	0.016769685
-1.9	-0.9	0.023508035
-1.9	-0.8	0.031802514
-1.9	-0.7	0.041519889
-1.9	-0.6	0.052311282
-1.9	-0.5	0.063602534
-1.9	-0.4	0.074626422
-1.9	-0.3	0.084499925
-1.9	-0.2	0.092337901
-1.9	-0.1	0.097382934
-1.9	0	0.099124633
-1.9	0.1	0.097382934
-1.9	0.2	0.092337901
-1.9	0.3	0.084499925
-1.9	0.4	0.074626422
-1.9	0.5	0.063602534
-1.9	0.6	0.052311282
-1.9	0.7	0.041519889
-1.9	0.8	0.031802514
-1.9	0.9	0.023508035
-1.9	1	0.016769685
-1.9	1.1	0.011544887
-1.9	1.2	0.007670293
-1.9	1.3	0.004918043
-1.9	1.4	0.003043204
-1.9	1.5	0.001817306
-1.9	1.6	0.00104733
-1.9	1.7	0.000582502
-1.9	1.8	0.000312658
-1.9	1.9	0.000161957
-1.9	2	8.09636E-05
-1.9	2.1	3.90605E-05
-1.9	2.2	1.81863E-05
-1.9	2.3	8.17161E-06
-1.9	2.4	3.54348E-06
-1.9	2.5	1.4829E-06
-1.9	2.6	5.98896E-07
-1.9	2.7	2.33426E-07
-1.9	2.8	8.78023E-08
-1.9	2.9	3.18729E-08
-1.9	3	1.11659E-08
-1.8	-3	1.41493E-08
-1.8	-2.9	4.03889E-08
-1.8	-2.8	1.11262E-07
-1.8	-2.7	2.95795E-07
-1.8	-2.6	7.58914E-07
-1.8	-2.5	1.87911E-06
-1.8	-2.4	4.49026E-06
-1.8	-2.3	1.0355E-05
-1.8	-2.2	2.30454E-05
-1.8	-2.1	4.94969E-05
-1.8	-2	0.000102596
-1.8	-1.9	0.00020523
-1.8	-1.8	0.000396197
-1.8	-1.7	0.000738139
-1.8	-1.6	0.001327164
-1.8	-1.5	0.002302868
-1.8	-1.4	0.00385631
-1.8	-1.3	0.006232083
-1.8	-1.2	0.009719696
-1.8	-1.1	0.014629515
-1.8	-1	0.021250234
-1.8	-0.9	0.029788692
-1.8	-0.8	0.040298411
-1.8	-0.7	0.052609593
-1.8	-0.6	0.066278385
-1.8	-0.5	0.080574865
-1.8	-0.4	0.094524943
-1.8	-0.3	0.107010247
-1.8	-0.2	0.116913819
-1.8	-0.1	0.123284082
-1.8	0	0.125482417
-1.8	0.1	0.123284082
-1.8	0.2	0.116913819
-1.8	0.3	0.107010247
-1.8	0.4	0.094524943
-1.8	0.5	0.080574865
-1.8	0.6	0.066278385
-1.8	0.7	0.052609593
-1.8	0.8	0.040298411
-1.8	0.9	0.029788692
-1.8	1	0.021250234
-1.8	1.1	0.014629515
-1.8	1.2	0.009719696
-1.8	1.3	0.006232083
-1.8	1.4	0.00385631
-1.8	1.5	0.002302868
-1.8	1.6	0.001327164
-1.8	1.7	0.000738139
-1.8	1.8	0.000396197
-1.8	1.9	0.00020523
-1.8	2	0.000102596
-1.8	2.1	4.94969E-05
-1.8	2.2	2.30454E-05
-1.8	2.3	1.0355E-05
-1.8	2.4	4.49026E-06
-1.8	2.5	1.87911E-06
-1.8	2.6	7.58914E-07
-1.8	2.7	2.95795E-07
-1.8	2.8	1.11262E-07
-1.8	2.9	4.03889E-08
-1.8	3	1.41493E-08
-1.7	-3	1.77018E-08
-1.7	-2.9	5.05294E-08
-1.7	-2.8	1.39197E-07
-1.7	-2.7	3.7006E-07
-1.7	-2.6	9.49455E-07
-1.7	-2.5	2.3509E-06
-1.7	-2.4	5.61763E-06
-1.7	-2.3	1.29548E-05
-1.7	-2.2	2.88314E-05
-1.7	-2.1	6.19242E-05
-1.7	-2	0.000128355
-1.7	-1.9	0.000256758
-1.7	-1.8	0.00049567
-1.7	-1.7	0.000923465
-1.7	-1.6	0.001660376
-1.7	-1.5	0.002881051
-1.7	-1.4	0.004824517
-1.7	-1.3	0.007796776
-1.7	-1.2	0.01216002
-1.7	-1.1	0.018302507
-1.7	-1	0.026585307
-1.7	-0.9	0.037266825
-1.7	-0.8	0.050413012
-1.7	-0.7	0.065809149
-1.7	-0.6	0.082895809
-1.7	-0.5	0.100754247
-1.7	-0.4	0.118161395
-1.7	-0.3	0.133719456
-1.7	-0.2	0.146042083
-1.7	-0.1	0.153958132
-1.7	0	0.156687842
-1.7	0.1	0.153958132
-1.7	0.2	0.146042083
-1.7	0.3	0.133719456
-1.7	0.4	0.118161395
-1.7	0.5	0.100754247
-1.7	0.6	0.082895809
-1.7	0.7	0.065809149
-1.7	0.8	0.050413012
-1.7	0.9	0.037266825
-1.7	1	0.026585307
-1.7	1.1	0.018302507
-1.7	1.2	0.01216002
-1.7	1.3	0.007796776
-1.7	1.4	0.004824517
-1.7	1.5	0.002881051
-1.7	1.6	0.001660376
-1.7	1.7	0.000923465
-1.7	1.8	0.00049567
-1.7	1.9	0.000256758
-1.7	2	0.000128355
-1.7	2.1	6.19242E-05
-1.7	2.2	2.88314E-05
-1.7	2.3	1.29548E-05
-1.7	2.4	5.61763E-06
-1.7	2.5	2.3509E-06
-1.7	2.6	9.49455E-07
-1.7	2.7	3.7006E-07
-1.7	2.8	1.39197E-07
-1.7	2.9	5.05294E-08
-1.7	3	1.77018E-08
-1.6	-3	2.18645E-08
-1.6	-2.9	6.24118E-08
-1.6	-2.8	1.7193E-07
-1.6	-2.7	4.57083E-07
-1.6	-2.6	1.17273E-06
-1.6	-2.5	2.90374E-06
-1.6	-2.4	6.93867E-06
-1.6	-2.3	1.60012E-05
-1.6	-2.2	3.56114E-05
-1.6	-2.1	7.64862E-05
-1.6	-2	0.000158539
-1.6	-1.9	0.000317137
-1.6	-1.8	0.000612232
-1.6	-1.7	0.001140626
-1.6	-1.6	0.002050829
-1.6	-1.5	0.003558557
-1.6	-1.4	0.005959047
-1.6	-1.3	0.009630257
-1.6	-1.2	0.015019538
-1.6	-1.1	0.02260639
-1.6	-1	0.032836546
-1.6	-0.9	0.04602836
-1.6	-0.8	0.062261045
-1.6	-0.7	0.081264275
-1.6	-0.6	0.102337835
-1.6	-0.5	0.12433452
-1.6	-0.4	0.145733791
-1.6	-0.3	0.164812199
